sku,name,description,price,currency,category,subcategory,brand,color,size,material,style_tags,season,gender,occasion,image_url,stock_status,rating,popularity_score
SKU-00236,Pull&Bear Cream Sunglasses,Spring Sunglasses for unisex. Wool material with classic style. Perfect for travel occasions.,75.55,USD,Accessories,Sunglasses,Pull&Bear,Cream,XXL,Wool,classic,Spring,Unisex,Travel,https://placeholder.com/products/accessories-236.jpg,Low Stock,4.5,79
SKU-00237,Pull&Bear Red Mini Dress,Spring Mini Dress for men. Polyester material with bohemian style. Perfect for party occasions.,190.8,USD,Dresses,Mini Dress,Pull&Bear,Red,S,Polyester,bohemian,Spring,Men,Party,https://placeholder.com/products/dresses-237.jpg,Low Stock,3.8,85
SKU-00238,H&M Blue Mini Dress,Fall Mini Dress for men. Wool material with romantic style. Perfect for party occasions.,195.14,USD,Dresses,Mini Dress,H&M,Blue,XXL,Wool,romantic,Fall,Men,Party,https://placeholder.com/products/dresses-238.jpg,In Stock,4.4,57
SKU-00239,Forever 21 Red Polo,Winter Polo for men. Denim material with modern style. Perfect for casual occasions.,52.06,USD,Tops,Polo,Forever 21,Red,M,Denim,modern,Winter,Men,Casual,https://placeholder.com/products/tops-239.jpg,Low Stock,4.4,5
SKU-00240,Pull&Bear Gray Evening Gown,Summer Evening Gown for women. Synthetic material with romantic style. Perfect for office occasions.,147.33,USD,Dresses,Evening Gown,Pull&Bear,Gray,XS,Synthetic,romantic,Summer,Women,Office,https://placeholder.com/products/dresses-240.jpg,Low Stock,3.5,85
SKU-00241,Adidas Blue Maxi Dress,Summer Maxi Dress for men. Blend material with bohemian style. Perfect for travel occasions.,175.84,USD,Dresses,Maxi Dress,Adidas,Blue,XXL,Blend,bohemian,Summer,Men,Travel,https://placeholder.com/products/dresses-241.jpg,Low Stock,3.2,47
SKU-00242,Levi's White Polo,Winter Polo for women. Denim material with vintage style. Perfect for formal occasions.,47.19,USD,Tops,Polo,Levi's,White,L,Denim,vintage,Winter,Women,Formal,https://placeholder.com/products/tops-242.jpg,In Stock,3.5,85
SKU-00243,Nike Red Boots,Spring Boots for women. Denim material with comfortable style. Perfect for formal occasions.,56.22,USD,Footwear,Boots,Nike,Red,XL,Denim,comfortable,Spring,Women,Formal,https://placeholder.com/products/footwear-243.jpg,In Stock,4.3,78
SKU-00244,Gap Navy Blazer,Summer Blazer for men. Leather material with trendy style. Perfect for sports occasions.,137.62,USD,Outerwear,Blazer,Gap,Navy,S,Leather,trendy,Summer,Men,Sports,https://placeholder.com/products/outerwear-244.jpg,Low Stock,4.8,53
SKU-00245,Gap Black Trousers,Fall Trousers for men. Blend material with relaxed style. Perfect for office occasions.,68.65,USD,Bottoms,Trousers,Gap,Black,XXL,Blend,relaxed,Fall,Men,Office,https://placeholder.com/products/bottoms-245.jpg,In Stock,4.1,90
SKU-00246,H&M Navy Tank Top,Spring Tank Top for unisex. Linen material with vintage style. Perfect for travel occasions.,41.32,USD,Tops,Tank Top,H&M,Navy,XS,Linen,vintage,Spring,Unisex,Travel,https://placeholder.com/products/tops-246.jpg,Out of Stock,4,61
SKU-00247,Gap Black Boots,Fall Boots for unisex. Synthetic material with casual style. Perfect for casual occasions.,84.33,USD,Footwear,Boots,Gap,Black,XL,Synthetic,casual,Fall,Unisex,Casual,https://placeholder.com/products/footwear-247.jpg,Out of Stock,3.6,49
SKU-00248,Nike Pink Sweater,Summer Sweater for men. Leather material with streetwear style. Perfect for casual occasions.,30.37,USD,Tops,Sweater,Nike,Pink,L,Leather,streetwear,Summer,Men,Casual,https://placeholder.com/products/tops-248.jpg,Low Stock,4,38
SKU-00249,Uniqlo Olive Maxi Dress,Summer Maxi Dress for men. Silk material with elegant style. Perfect for travel occasions.,76.93,USD,Dresses,Maxi Dress,Uniqlo,Olive,XXL,Silk,elegant,Summer,Men,Travel,https://placeholder.com/products/dresses-249.jpg,Out of Stock,4.9,84
SKU-00250,Levi's Green Pants,Fall Pants for men. Synthetic material with high-waist style. Perfect for party occasions.,63.41,USD,Bottoms,Pants,Levi's,Green,XL,Synthetic,high-waist,Fall,Men,Party,https://placeholder.com/products/bottoms-250.jpg,Low Stock,3.2,79
SKU-00251,Zara Beige Bomber,Fall Bomber for women. Silk material with urban style. Perfect for formal occasions.,86.77,USD,Outerwear,Bomber,Zara,Beige,XS,Silk,urban,Fall,Women,Formal,https://placeholder.com/products/outerwear-251.jpg,Low Stock,4.1,69
SKU-00252,Pull&Bear Yellow Parka,Fall Parka for men. Blend material with classic style. Perfect for casual occasions.,128.51,USD,Outerwear,Parka,Pull&Bear,Yellow,S,Blend,classic,Fall,Men,Casual,https://placeholder.com/products/outerwear-252.jpg,Out of Stock,4.2,23
SKU-00253,Pull&Bear Green Cardigan,All-Season Cardigan for men. Cotton material with minimalist style. Perfect for wedding occasions.,76.86,USD,Tops,Cardigan,Pull&Bear,Green,XL,Cotton,minimalist,All-Season,Men,Wedding,https://placeholder.com/products/tops-253.jpg,Low Stock,4.9,94
SKU-00254,H&M Burgundy Scarf,Winter Scarf for unisex. Cotton material with minimalist style. Perfect for travel occasions.,95.79,USD,Accessories,Scarf,H&M,Burgundy,XL,Cotton,minimalist,Winter,Unisex,Travel,https://placeholder.com/products/accessories-254.jpg,Low Stock,4.7,68
SKU-00255,Nike Green Sandals,Fall Sandals for men. Leather material with casual style. Perfect for wedding occasions.,95.99,USD,Footwear,Sandals,Nike,Green,S,Leather,casual,Fall,Men,Wedding,https://placeholder.com/products/footwear-255.jpg,Low Stock,3.9,74
SKU-00256,Pull&Bear Yellow Chinos,Summer Chinos for women. Polyester material with classic style. Perfect for sports occasions.,92.68,USD,Bottoms,Chinos,Pull&Bear,Yellow,XS,Polyester,classic,Summer,Women,Sports,https://placeholder.com/products/bottoms-256.jpg,Low Stock,4.5,13
SKU-00257,Adidas Olive Heels,All-Season Heels for unisex. Silk material with athletic style. Perfect for casual occasions.,133.08,USD,Footwear,Heels,Adidas,Olive,XL,Silk,athletic,All-Season,Unisex,Casual,https://placeholder.com/products/footwear-257.jpg,Out of Stock,3.2,53
SKU-00258,Gap White Sneakers,Spring Sneakers for women. Linen material with elegant style. Perfect for formal occasions.,126.65,USD,Footwear,Sneakers,Gap,White,XS,Linen,elegant,Spring,Women,Formal,https://placeholder.com/products/footwear-258.jpg,In Stock,4.3,92
SKU-00259,Levi's Red Windbreaker,Summer Windbreaker for men. Cotton material with sporty style. Perfect for travel occasions.,121.88,USD,Outerwear,Windbreaker,Levi's,Red,XXL,Cotton,sporty,Summer,Men,Travel,https://placeholder.com/products/outerwear-259.jpg,In Stock,4.1,14
SKU-00260,Zara Beige Trousers,Fall Trousers for men. Linen material with slim-fit style. Perfect for party occasions.,105.42,USD,Bottoms,Trousers,Zara,Beige,M,Linen,slim-fit,Fall,Men,Party,https://placeholder.com/products/bottoms-260.jpg,In Stock,3.5,41
SKU-00261,Gap Gray Loafers,Spring Loafers for unisex. Polyester material with statement style. Perfect for wedding occasions.,103.49,USD,Footwear,Loafers,Gap,Gray,XXL,Polyester,statement,Spring,Unisex,Wedding,https://placeholder.com/products/footwear-261.jpg,In Stock,3.2,13
SKU-00262,Gap Blue Belt,Winter Belt for women. Silk material with functional style. Perfect for casual occasions.,83.38,USD,Accessories,Belt,Gap,Blue,XXL,Silk,functional,Winter,Women,Casual,https://placeholder.com/products/accessories-262.jpg,Out of Stock,4.7,53
SKU-00263,Uniqlo Green Flats,Spring Flats for men. Synthetic material with statement style. Perfect for party occasions.,111.06,USD,Footwear,Flats,Uniqlo,Green,XXL,Synthetic,statement,Spring,Men,Party,https://placeholder.com/products/footwear-263.jpg,In Stock,4.7,27
SKU-00264,Adidas Olive Sunglasses,Winter Sunglasses for women. Blend material with functional style. Perfect for sports occasions.,61.05,USD,Accessories,Sunglasses,Adidas,Olive,L,Blend,functional,Winter,Women,Sports,https://placeholder.com/products/accessories-264.jpg,Out of Stock,4,11
SKU-00265,Nike Red Polo,Summer Polo for women. Cotton material with vintage style. Perfect for office occasions.,37.16,USD,Tops,Polo,Nike,Red,M,Cotton,vintage,Summer,Women,Office,https://placeholder.com/products/tops-265.jpg,In Stock,3.7,42
SKU-00266,Gap Burgundy Midi Dress,Summer Midi Dress for women. Linen material with sophisticated style. Perfect for office occasions.,167.91,USD,Dresses,Midi Dress,Gap,Burgundy,XS,Linen,sophisticated,Summer,Women,Office,https://placeholder.com/products/dresses-266.jpg,Low Stock,3.6,72
SKU-00267,Adidas Green Midi Dress,Spring Midi Dress for unisex. Silk material with elegant style. Perfect for party occasions.,183.08,USD,Dresses,Midi Dress,Adidas,Green,M,Silk,elegant,Spring,Unisex,Party,https://placeholder.com/products/dresses-267.jpg,Out of Stock,3.5,99
SKU-00268,Mango Beige Bag,All-Season Bag for unisex. Wool material with minimalist style. Perfect for sports occasions.,51.06,USD,Accessories,Bag,Mango,Beige,L,Wool,minimalist,All-Season,Unisex,Sports,https://placeholder.com/products/accessories-268.jpg,In Stock,3.9,69
SKU-00269,Mango Black Blouse,Summer Blouse for women. Polyester material with streetwear style. Perfect for party occasions.,46.69,USD,Tops,Blouse,Mango,Black,S,Polyester,streetwear,Summer,Women,Party,https://placeholder.com/products/tops-269.jpg,Out of Stock,4.2,96
SKU-00270,Gap Green Boots,Fall Boots for women. Denim material with elegant style. Perfect for office occasions.,121.1,USD,Footwear,Boots,Gap,Green,L,Denim,elegant,Fall,Women,Office,https://placeholder.com/products/footwear-270.jpg,Out of Stock,4.7,3
SKU-00271,Zara Pink Evening Gown,All-Season Evening Gown for women. Leather material with sophisticated style. Perfect for formal occasions.,141.01,USD,Dresses,Evening Gown,Zara,Pink,S,Leather,sophisticated,All-Season,Women,Formal,https://placeholder.com/products/dresses-271.jpg,Low Stock,3,45
SKU-00272,H&M Gray Maxi Dress,All-Season Maxi Dress for unisex. Linen material with elegant style. Perfect for travel occasions.,195.03,USD,Dresses,Maxi Dress,H&M,Gray,L,Linen,elegant,All-Season,Unisex,Travel,https://placeholder.com/products/dresses-272.jpg,Low Stock,4.5,61
SKU-00273,Mango Burgundy Flats,Winter Flats for men. Synthetic material with statement style. Perfect for travel occasions.,136.23,USD,Footwear,Flats,Mango,Burgundy,L,Synthetic,statement,Winter,Men,Travel,https://placeholder.com/products/footwear-273.jpg,In Stock,4.7,41
SKU-00274,Pull&Bear Navy Coat,Spring Coat for women. Wool material with sporty style. Perfect for wedding occasions.,151.38,USD,Outerwear,Coat,Pull&Bear,Navy,XXL,Wool,sporty,Spring,Women,Wedding,https://placeholder.com/products/outerwear-274.jpg,In Stock,4.8,16
SKU-00275,Zara Pink Scarf,Spring Scarf for men. Denim material with statement style. Perfect for office occasions.,16.85,USD,Accessories,Scarf,Zara,Pink,M,Denim,statement,Spring,Men,Office,https://placeholder.com/products/accessories-275.jpg,Low Stock,3.1,53
SKU-00276,Forever 21 Cream Jeans,Fall Jeans for unisex. Polyester material with classic style. Perfect for office occasions.,115.51,USD,Bottoms,Jeans,Forever 21,Cream,S,Polyester,classic,Fall,Unisex,Office,https://placeholder.com/products/bottoms-276.jpg,Low Stock,4.2,21
SKU-00277,Mango Brown Belt,All-Season Belt for men. Wool material with statement style. Perfect for wedding occasions.,77.85,USD,Accessories,Belt,Mango,Brown,M,Wool,statement,All-Season,Men,Wedding,https://placeholder.com/products/accessories-277.jpg,Out of Stock,4.4,79
SKU-00278,Levi's White Cocktail Dress,Winter Cocktail Dress for unisex. Polyester material with sophisticated style. Perfect for office occasions.,97.08,USD,Dresses,Cocktail Dress,Levi's,White,XL,Polyester,sophisticated,Winter,Unisex,Office,https://placeholder.com/products/dresses-278.jpg,Low Stock,5,1
SKU-00279,H&M Gray Hat,Fall Hat for women. Denim material with classic style. Perfect for wedding occasions.,61.7,USD,Accessories,Hat,H&M,Gray,XS,Denim,classic,Fall,Women,Wedding,https://placeholder.com/products/accessories-279.jpg,Low Stock,3.5,10
SKU-00280,Adidas Pink Flats,Fall Flats for men. Polyester material with statement style. Perfect for office occasions.,101.96,USD,Footwear,Flats,Adidas,Pink,XS,Polyester,statement,Fall,Men,Office,https://placeholder.com/products/footwear-280.jpg,Out of Stock,3.4,46
SKU-00281,Nike White Polo,All-Season Polo for men. Blend material with vintage style. Perfect for party occasions.,21.71,USD,Tops,Polo,Nike,White,M,Blend,vintage,All-Season,Men,Party,https://placeholder.com/products/tops-281.jpg,Out of Stock,4.9,91
SKU-00282,Levi's Blue Windbreaker,All-Season Windbreaker for unisex. Leather material with sporty style. Perfect for party occasions.,197.81,USD,Outerwear,Windbreaker,Levi's,Blue,XL,Leather,sporty,All-Season,Unisex,Party,https://placeholder.com/products/outerwear-282.jpg,Out of Stock,3.4,47
SKU-00283,Nike Navy Hat,Summer Hat for women. Synthetic material with functional style. Perfect for casual occasions.,75.49,USD,Accessories,Hat,Nike,Navy,L,Synthetic,functional,Summer,Women,Casual,https://placeholder.com/products/accessories-283.jpg,Low Stock,4.7,46
SKU-00284,H&M Blue Belt,Spring Belt for men. Synthetic material with minimalist style. Perfect for party occasions.,85.69,USD,Accessories,Belt,H&M,Blue,L,Synthetic,minimalist,Spring,Men,Party,https://placeholder.com/products/accessories-284.jpg,In Stock,3.7,1
SKU-00285,Pull&Bear Red Sweater,Fall Sweater for women. Linen material with streetwear style. Perfect for wedding occasions.,38.85,USD,Tops,Sweater,Pull&Bear,Red,M,Linen,streetwear,Fall,Women,Wedding,https://placeholder.com/products/tops-285.jpg,Out of Stock,3.1,45
SKU-00286,Pull&Bear Olive Hoodie,Spring Hoodie for women. Polyester material with casual style. Perfect for travel occasions.,30.04,USD,Tops,Hoodie,Pull&Bear,Olive,L,Polyester,casual,Spring,Women,Travel,https://placeholder.com/products/tops-286.jpg,Low Stock,3.1,66
SKU-00287,Pull&Bear Burgundy Midi Dress,Fall Midi Dress for men. Wool material with romantic style. Perfect for formal occasions.,190.31,USD,Dresses,Midi Dress,Pull&Bear,Burgundy,XL,Wool,romantic,Fall,Men,Formal,https://placeholder.com/products/dresses-287.jpg,Out of Stock,3.2,3
SKU-00288,Adidas Beige Sneakers,All-Season Sneakers for women. Synthetic material with comfortable style. Perfect for party occasions.,133.71,USD,Footwear,Sneakers,Adidas,Beige,S,Synthetic,comfortable,All-Season,Women,Party,https://placeholder.com/products/footwear-288.jpg,Out of Stock,4.3,57
SKU-00289,Nike Brown Sweater,Fall Sweater for unisex. Denim material with modern style. Perfect for office occasions.,44.5,USD,Tops,Sweater,Nike,Brown,XS,Denim,modern,Fall,Unisex,Office,https://placeholder.com/products/tops-289.jpg,Low Stock,3.4,29
SKU-00290,Uniqlo Green Blazer,All-Season Blazer for men. Leather material with sporty style. Perfect for travel occasions.,79.85,USD,Outerwear,Blazer,Uniqlo,Green,XS,Leather,sporty,All-Season,Men,Travel,https://placeholder.com/products/outerwear-290.jpg,In Stock,3.3,69
SKU-00291,H&M Blue Jeans,All-Season Jeans for men. Silk material with classic style. Perfect for travel occasions.,75.02,USD,Bottoms,Jeans,H&M,Blue,M,Silk,classic,All-Season,Men,Travel,https://placeholder.com/products/bottoms-291.jpg,Low Stock,4.6,14
SKU-00292,H&M Beige Chinos,Winter Chinos for women. Blend material with classic style. Perfect for casual occasions.,51.2,USD,Bottoms,Chinos,H&M,Beige,L,Blend,classic,Winter,Women,Casual,https://placeholder.com/products/bottoms-292.jpg,In Stock,4.1,16
SKU-00293,Nike White Evening Gown,Winter Evening Gown for women. Synthetic material with romantic style. Perfect for formal occasions.,43.36,USD,Dresses,Evening Gown,Nike,White,XXL,Synthetic,romantic,Winter,Women,Formal,https://placeholder.com/products/dresses-293.jpg,Low Stock,4.4,56
SKU-00294,Uniqlo Burgundy Loafers,Winter Loafers for men. Wool material with casual style. Perfect for travel occasions.,63.82,USD,Footwear,Loafers,Uniqlo,Burgundy,XXL,Wool,casual,Winter,Men,Travel,https://placeholder.com/products/footwear-294.jpg,In Stock,4.5,74
SKU-00295,H&M Green Mini Dress,Spring Mini Dress for unisex. Synthetic material with bohemian style. Perfect for party occasions.,193.21,USD,Dresses,Mini Dress,H&M,Green,XS,Synthetic,bohemian,Spring,Unisex,Party,https://placeholder.com/products/dresses-295.jpg,Low Stock,3.9,6
SKU-00296,Nike Black Flats,Summer Flats for unisex. Denim material with elegant style. Perfect for office occasions.,65.24,USD,Footwear,Flats,Nike,Black,L,Denim,elegant,Summer,Unisex,Office,https://placeholder.com/products/footwear-296.jpg,In Stock,4.7,34
SKU-00297,Forever 21 Gray Sneakers,Winter Sneakers for women. Leather material with comfortable style. Perfect for sports occasions.,106.3,USD,Footwear,Sneakers,Forever 21,Gray,XL,Leather,comfortable,Winter,Women,Sports,https://placeholder.com/products/footwear-297.jpg,Out of Stock,3.2,85
SKU-00298,Adidas Gray Sneakers,Summer Sneakers for women. Synthetic material with comfortable style. Perfect for casual occasions.,144.39,USD,Footwear,Sneakers,Adidas,Gray,XS,Synthetic,comfortable,Summer,Women,Casual,https://placeholder.com/products/footwear-298.jpg,Low Stock,3.1,41
SKU-00299,Nike White Mini Dress,Fall Mini Dress for unisex. Blend material with chic style. Perfect for formal occasions.,155.28,USD,Dresses,Mini Dress,Nike,White,S,Blend,chic,Fall,Unisex,Formal,https://placeholder.com/products/dresses-299.jpg,Low Stock,3.6,53
SKU-00300,Adidas Cream Sandals,Spring Sandals for men. Leather material with statement style. Perfect for casual occasions.,85.14,USD,Footwear,Sandals,Adidas,Cream,XXL,Leather,statement,Spring,Men,Casual,https://placeholder.com/products/footwear-300.jpg,Out of Stock,4.7,27
SKU-00301,Uniqlo White Sandals,Winter Sandals for women. Synthetic material with athletic style. Perfect for travel occasions.,124.5,USD,Footwear,Sandals,Uniqlo,White,XL,Synthetic,athletic,Winter,Women,Travel,https://placeholder.com/products/footwear-301.jpg,In Stock,3.7,6
SKU-00302,Forever 21 Olive Tank Top,Spring Tank Top for men. Leather material with minimalist style. Perfect for office occasions.,28.75,USD,Tops,Tank Top,Forever 21,Olive,XS,Leather,minimalist,Spring,Men,Office,https://placeholder.com/products/tops-302.jpg,Low Stock,4.5,63
SKU-00303,Forever 21 Burgundy Evening Gown,Spring Evening Gown for men. Cotton material with chic style. Perfect for office occasions.,185.67,USD,Dresses,Evening Gown,Forever 21,Burgundy,XXL,Cotton,chic,Spring,Men,Office,https://placeholder.com/products/dresses-303.jpg,Low Stock,4.7,9
SKU-00304,H&M Black Hat,All-Season Hat for unisex. Synthetic material with classic style. Perfect for party occasions.,43.84,USD,Accessories,Hat,H&M,Black,XS,Synthetic,classic,All-Season,Unisex,Party,https://placeholder.com/products/accessories-304.jpg,Low Stock,4.2,12
SKU-00305,Adidas Gray Shorts,Spring Shorts for unisex. Polyester material with relaxed style. Perfect for party occasions.,63.37,USD,Bottoms,Shorts,Adidas,Gray,XL,Polyester,relaxed,Spring,Unisex,Party,https://placeholder.com/products/bottoms-305.jpg,Out of Stock,4.1,27
SKU-00306,Forever 21 Black Blouse,All-Season Blouse for unisex. Synthetic material with streetwear style. Perfect for office occasions.,53.39,USD,Tops,Blouse,Forever 21,Black,S,Synthetic,streetwear,All-Season,Unisex,Office,https://placeholder.com/products/tops-306.jpg,In Stock,4.6,41
SKU-00307,Forever 21 Gray Tank Top,Winter Tank Top for unisex. Cotton material with modern style. Perfect for wedding occasions.,78.14,USD,Tops,Tank Top,Forever 21,Gray,S,Cotton,modern,Winter,Unisex,Wedding,https://placeholder.com/products/tops-307.jpg,In Stock,3.9,27
SKU-00308,Uniqlo Brown Cocktail Dress,Winter Cocktail Dress for unisex. Leather material with romantic style. Perfect for sports occasions.,45.07,USD,Dresses,Cocktail Dress,Uniqlo,Brown,XS,Leather,romantic,Winter,Unisex,Sports,https://placeholder.com/products/dresses-308.jpg,Out of Stock,3.1,100
SKU-00309,Forever 21 Blue Watch,Fall Watch for women. Leather material with functional style. Perfect for office occasions.,20.04,USD,Accessories,Watch,Forever 21,Blue,S,Leather,functional,Fall,Women,Office,https://placeholder.com/products/accessories-309.jpg,In Stock,4,63
SKU-00310,Uniqlo Green Mini Dress,Summer Mini Dress for men. Silk material with bohemian style. Perfect for office occasions.,147.93,USD,Dresses,Mini Dress,Uniqlo,Green,M,Silk,bohemian,Summer,Men,Office,https://placeholder.com/products/dresses-310.jpg,In Stock,3.4,18
SKU-00311,Mango Red Midi Dress,Winter Midi Dress for unisex. Cotton material with chic style. Perfect for party occasions.,56.4,USD,Dresses,Midi Dress,Mango,Red,M,Cotton,chic,Winter,Unisex,Party,https://placeholder.com/products/dresses-311.jpg,Low Stock,4,14
SKU-00312,Zara Red Watch,Fall Watch for unisex. Denim material with classic style. Perfect for party occasions.,54.35,USD,Accessories,Watch,Zara,Red,XS,Denim,classic,Fall,Unisex,Party,https://placeholder.com/products/accessories-312.jpg,Out of Stock,5,100
SKU-00313,Gap Cream Shirt,Spring Shirt for women. Cotton material with streetwear style. Perfect for sports occasions.,48.72,USD,Tops,Shirt,Gap,Cream,XXL,Cotton,streetwear,Spring,Women,Sports,https://placeholder.com/products/tops-313.jpg,Low Stock,4.7,75
SKU-00314,Forever 21 Beige Jeans,Winter Jeans for women. Cotton material with slim-fit style. Perfect for travel occasions.,87.9,USD,Bottoms,Jeans,Forever 21,Beige,S,Cotton,slim-fit,Winter,Women,Travel,https://placeholder.com/products/bottoms-314.jpg,In Stock,3.3,48
SKU-00315,Gap Burgundy Jacket,Winter Jacket for men. Denim material with sporty style. Perfect for wedding occasions.,191.07,USD,Outerwear,Jacket,Gap,Burgundy,XL,Denim,sporty,Winter,Men,Wedding,https://placeholder.com/products/outerwear-315.jpg,In Stock,4,46
SKU-00316,Zara Blue Maxi Dress,Spring Maxi Dress for men. Denim material with chic style. Perfect for formal occasions.,109.57,USD,Dresses,Maxi Dress,Zara,Blue,XS,Denim,chic,Spring,Men,Formal,https://placeholder.com/products/dresses-316.jpg,In Stock,4.3,16
SKU-00317,Forever 21 Cream Bag,Winter Bag for women. Cotton material with statement style. Perfect for wedding occasions.,97.53,USD,Accessories,Bag,Forever 21,Cream,S,Cotton,statement,Winter,Women,Wedding,https://placeholder.com/products/accessories-317.jpg,In Stock,3.2,77
SKU-00318,Levi's Red Maxi Dress,Spring Maxi Dress for men. Linen material with elegant style. Perfect for sports occasions.,184.9,USD,Dresses,Maxi Dress,Levi's,Red,M,Linen,elegant,Spring,Men,Sports,https://placeholder.com/products/dresses-318.jpg,Out of Stock,4.6,9
SKU-00319,Levi's Red Cardigan,All-Season Cardigan for women. Silk material with vintage style. Perfect for office occasions.,38.83,USD,Tops,Cardigan,Levi's,Red,XXL,Silk,vintage,All-Season,Women,Office,https://placeholder.com/products/tops-319.jpg,Low Stock,4.6,49
SKU-00320,H&M Red Bag,All-Season Bag for women. Denim material with classic style. Perfect for office occasions.,43.32,USD,Accessories,Bag,H&M,Red,M,Denim,classic,All-Season,Women,Office,https://placeholder.com/products/accessories-320.jpg,Low Stock,4.4,65
SKU-00321,Uniqlo Navy Sandals,Summer Sandals for unisex. Silk material with elegant style. Perfect for sports occasions.,135.29,USD,Footwear,Sandals,Uniqlo,Navy,S,Silk,elegant,Summer,Unisex,Sports,https://placeholder.com/products/footwear-321.jpg,Low Stock,3.6,36
SKU-00322,Uniqlo White Sandals,All-Season Sandals for men. Polyester material with elegant style. Perfect for casual occasions.,81.56,USD,Footwear,Sandals,Uniqlo,White,XS,Polyester,elegant,All-Season,Men,Casual,https://placeholder.com/products/footwear-322.jpg,In Stock,4.4,50
SKU-00323,Nike Burgundy Boots,All-Season Boots for unisex. Denim material with comfortable style. Perfect for office occasions.,113.67,USD,Footwear,Boots,Nike,Burgundy,M,Denim,comfortable,All-Season,Unisex,Office,https://placeholder.com/products/footwear-323.jpg,In Stock,4.3,31
SKU-00324,Nike Cream Loafers,All-Season Loafers for unisex. Leather material with casual style. Perfect for casual occasions.,79.84,USD,Footwear,Loafers,Nike,Cream,XS,Leather,casual,All-Season,Unisex,Casual,https://placeholder.com/products/footwear-324.jpg,In Stock,3.2,88
SKU-00325,Levi's Yellow Leggings,Summer Leggings for women. Synthetic material with high-waist style. Perfect for office occasions.,33.4,USD,Bottoms,Leggings,Levi's,Yellow,XXL,Synthetic,high-waist,Summer,Women,Office,https://placeholder.com/products/bottoms-325.jpg,Out of Stock,3.5,55
SKU-00326,Uniqlo Red T-Shirt,Fall T-Shirt for unisex. Linen material with modern style. Perfect for wedding occasions.,44.91,USD,Tops,T-Shirt,Uniqlo,Red,M,Linen,modern,Fall,Unisex,Wedding,https://placeholder.com/products/tops-326.jpg,In Stock,3.3,52
SKU-00327,Forever 21 Black T-Shirt,Spring T-Shirt for men. Leather material with modern style. Perfect for office occasions.,33.43,USD,Tops,T-Shirt,Forever 21,Black,M,Leather,modern,Spring,Men,Office,https://placeholder.com/products/tops-327.jpg,Out of Stock,4,19
SKU-00328,Mango Red Shorts,Spring Shorts for men. Linen material with relaxed style. Perfect for office occasions.,53.61,USD,Bottoms,Shorts,Mango,Red,L,Linen,relaxed,Spring,Men,Office,https://placeholder.com/products/bottoms-328.jpg,In Stock,4.3,25
SKU-00329,Forever 21 Pink Scarf,Winter Scarf for women. Cotton material with statement style. Perfect for formal occasions.,32.43,USD,Accessories,Scarf,Forever 21,Pink,L,Cotton,statement,Winter,Women,Formal,https://placeholder.com/products/accessories-329.jpg,In Stock,3.8,21
SKU-00330,Forever 21 Red Shorts,Spring Shorts for unisex. Linen material with high-waist style. Perfect for party occasions.,35.12,USD,Bottoms,Shorts,Forever 21,Red,XXL,Linen,high-waist,Spring,Unisex,Party,https://placeholder.com/products/bottoms-330.jpg,In Stock,3.2,86
SKU-00331,Nike Green Cocktail Dress,Winter Cocktail Dress for men. Leather material with sophisticated style. Perfect for office occasions.,176.82,USD,Dresses,Cocktail Dress,Nike,Green,XL,Leather,sophisticated,Winter,Men,Office,https://placeholder.com/products/dresses-331.jpg,Low Stock,4.2,80
SKU-00332,Levi's White Mini Dress,All-Season Mini Dress for men. Denim material with bohemian style. Perfect for sports occasions.,139.58,USD,Dresses,Mini Dress,Levi's,White,XS,Denim,bohemian,All-Season,Men,Sports,https://placeholder.com/products/dresses-332.jpg,Low Stock,3.9,57
SKU-00333,Forever 21 Blue Bomber,Fall Bomber for men. Silk material with urban style. Perfect for travel occasions.,83.97,USD,Outerwear,Bomber,Forever 21,Blue,L,Silk,urban,Fall,Men,Travel,https://placeholder.com/products/outerwear-333.jpg,In Stock,3.7,85
SKU-00334,Forever 21 Red Sweater,Winter Sweater for unisex. Wool material with modern style. Perfect for party occasions.,65.89,USD,Tops,Sweater,Forever 21,Red,XS,Wool,modern,Winter,Unisex,Party,https://placeholder.com/products/tops-334.jpg,Out of Stock,3.3,83
SKU-00335,Nike Gray Cardigan,Spring Cardigan for women. Blend material with modern style. Perfect for casual occasions.,30,USD,Tops,Cardigan,Nike,Gray,XS,Blend,modern,Spring,Women,Casual,https://placeholder.com/products/tops-335.jpg,In Stock,4.4,71
SKU-00336,H&M Yellow Jacket,Summer Jacket for men. Polyester material with classic style. Perfect for wedding occasions.,73.38,USD,Outerwear,Jacket,H&M,Yellow,S,Polyester,classic,Summer,Men,Wedding,https://placeholder.com/products/outerwear-336.jpg,Out of Stock,3.2,67
SKU-00337,H&M White Hoodie,All-Season Hoodie for men. Denim material with vintage style. Perfect for sports occasions.,72.95,USD,Tops,Hoodie,H&M,White,XS,Denim,vintage,All-Season,Men,Sports,https://placeholder.com/products/tops-337.jpg,Low Stock,4.5,95
SKU-00338,H&M Navy Bag,Summer Bag for women. Blend material with trendy style. Perfect for formal occasions.,64.62,USD,Accessories,Bag,H&M,Navy,S,Blend,trendy,Summer,Women,Formal,https://placeholder.com/products/accessories-338.jpg,Low Stock,3.6,76
